Time,shipment_id,W60_T_mean,W60_T_std,W60_T_range,W60_delta,W60_slope,W60_hot_ratio_mean,W60_over_auc_mean,W60_over_dur_mean,W60_spatial_range_mean,W60_spatial_std_mean,W60_active_ratio_mean,y_next_120_R2
2019-03-13 06:50:00,S1,24.89761925,0.709096253,2.042858124,2.04285717,0.414285719,1.0,1253.857178,0.777777791,1.033333302,0.347985268,0.777777791,1.0
2019-03-13 07:00:00,S1,25.2857151,0.652780533,1.91428566,1.91428566,0.380408168,1.0,1277.142822,0.777777791,1.033333302,0.352122962,0.777777791,1.0
2019-03-13 07:10:00,S1,25.64999962,0.574322999,1.685714722,1.685714245,0.335102051,1.0,1299.0,0.777777791,1.033333302,0.347725898,0.777777791,1.0
2019-03-13 07:20:00,S1,25.95952415,0.497299969,1.428571701,1.428571463,0.289387763,1.0,1317.571411,0.777777791,1.066666722,0.35108918,0.777777791,1.0
2019-03-13 07:30:00,S1,26.23571396,0.439754874,1.299999237,1.299999952,0.255918354,1.0,1334.142822,0.777777791,1.083333373,0.353882402,0.777777791,1.0
2019-03-13 07:40:00,S1,26.47857094,0.380542934,1.114284515,1.114285707,0.221632659,1.0,1348.714233,0.777777791,1.100000024,0.357696921,0.777777791,1.0
2019-03-13 07:50:00,S1,26.68571472,0.328364313,0.957143784,0.95714283,0.191020414,1.0,1361.142822,0.777777791,1.066666722,0.348432183,0.777777791,1.0
2019-03-13 08:00:00,S1,26.86428642,0.280154228,0.799999237,0.800000012,0.162857145,1.0,1371.857178,0.777777791,1.033333302,0.341429949,0.777777791,1.0
2019-03-13 08:10:00,S1,27.01904678,0.251751244,0.757143021,0.757142842,0.146122456,1.0,1381.142822,0.777777791,1.0,0.338472903,0.777777791,1.0
2019-03-13 08:20:00,S1,27.15476227,0.20427683,0.58571434,0.585714281,0.118775509,1.0,1389.285767,0.777777791,0.916666687,0.321910471,0.777777791,1.0
2019-03-13 08:30:00,S1,27.26666641,0.17702505,0.514286041,0.514285743,0.102857143,1.0,1396.0,0.777777791,0.866666675,0.313288152,0.777777791,1.0
2019-03-13 08:40:00,S1,27.38095284,0.180073053,0.557142258,0.557142854,0.104489796,1.0,1402.857178,0.777777791,0.833333313,0.306645423,0.777777791,1.0
2019-03-13 08:50:00,S1,27.51190567,0.219835535,0.67142868,0.671428561,0.125306129,1.0,1410.714233,0.777777791,0.816666663,0.304768085,0.777777791,1.0
2019-03-13 09:00:00,S1,27.68333244,0.313246846,0.899999619,0.899999976,0.17510204,1.0,1421.0,0.777777791,0.850000024,0.315557063,0.777777791,1.0
2019-03-13 09:10:00,S1,27.91190529,0.458511084,1.314285278,1.314285755,0.259183675,1.0,1434.714233,0.777777791,0.949999988,0.339122325,0.777777791,1.0
2019-03-13 09:20:00,S1,28.20000076,0.581810474,1.642856598,1.642857194,0.335510194,1.0,1452.0,0.777777791,1.083333373,0.372434497,0.777777791,1.0
2019-03-13 09:30:00,S1,28.53809547,0.660841882,1.857143402,1.857142806,0.38530612,1.0,1472.285767,0.777777791,1.200000048,0.402869761,0.777777791,1.0
2019-03-13 09:40:00,S1,28.89761925,0.678103447,1.928571701,1.928571463,0.396326542,1.0,1493.857178,0.777777791,1.283333302,0.423602402,0.777777791,1.0
2019-03-13 09:50:00,S1,29.24523735,0.608634949,1.728570938,1.728571415,0.352244884,1.0,1514.714233,0.777777791,1.366666675,0.442459702,0.777777791,1.0
2019-03-13 10:00:00,S1,29.56190491,0.496015877,1.428571701,1.428571463,0.284897953,1.0,1533.714233,0.777777791,1.383333325,0.441844106,0.777777791,1.0
2019-03-13 10:10:00,S1,29.81904793,0.384801984,1.128572464,1.128571391,0.219591841,1.0,1549.142822,0.777777791,1.316666722,0.425534487,0.777777791,1.0
